Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Sweden,Included / International,Price / International,Compare At Price / International,Status
3786,Mjölkslangpaket 6 för Lely A4 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,2.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7802-1,Anslut Vakuumledning 3/4 till 1 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,105.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3791,Skrapblad till Lely Discovery - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,375.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7801-2,Vakuumkran 1 1/4 - 1 1/2  - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3780,"Mjölkslang till Lely VMS, gummi - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,98.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3766,Magnetventil för armcylinder - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3781,Mjölkslang premium till Lely VMS silikon - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,135.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3781-2,Mjölkslang Lely silikon A2 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,135.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7801-7,Kran 3/4 rak - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,125.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7802-3,Anslut vakuum 2 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,135.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
